Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
斑頭雁,Anser indicus,Bar-headed Goose,species,,,
灰雁,Anser anser,Graylag Goose,species,,,
鴻雁,Anser cygnoides,Swan Goose,species,,,
白額雁,Anser albifrons,Greater White-fronted Goose,species,,,
小白額雁,Anser erythropus,Lesser White-fronted Goose,species,,,
寒林豆雁,Anser fabalis,Taiga Bean-Goose,species,,,
凍原豆雁,Anser serrirostris,Tundra Bean-Goose,species,,,
黑雁,Branta bernicla,Brant,species,,,
小加拿大雁,Branta hutchinsii,Cackling Goose,species,,,
加拿大雁,Branta canadensis,Canada Goose,species,,,
疣鼻天鵝,Cygnus olor,Mute Swan,species,,,
黑天鵝,Cygnus atratus,Black Swan,species,,,
小天鵝,Cygnus columbianus,Tundra Swan,species,,,
黃嘴天鵝,Cygnus cygnus,Whooper Swan,species,,,
埃及雁,Alopochen aegyptiaca,Egyptian Goose,species,,,
瀆鳧,Tadorna ferruginea,Ruddy Shelduck,species,,,
花鳧,Tadorna tadorna,Common Shelduck,species,,,
疣鼻棲鴨(薑母鴨),Cairina moschata,Muscovy Duck,species,,,
棉鴨,Nettapus coromandelianus,Cotton Pygmy-Goose,species,,,
林鴛鴦,Aix sponsa,Wood Duck,species,,,
鴛鴦,Aix galericulata,Mandarin Duck,species,1,,1
巴鴨,Sibirionetta formosa,Baikal Teal,species,,,
白眉鴨,Spatula querquedula,Garganey,species,,,
琵嘴鴨,Spatula clypeata,Northern Shoveler,species,,,
赤膀鴨,Mareca strepera,Gadwall,species,,,
羅文鴨,Mareca falcata,Falcated Duck,species,,,
赤頸鴨,Mareca penelope,Eurasian Wigeon,species,,,
葡萄胸鴨,Mareca americana,American Wigeon,species,,,
呂宋鴨,Anas luzonica,Philippine Duck,species,,,
花嘴鴨,Anas zonorhyncha,Eastern Spot-billed Duck,species,1,,1
綠頭鴨,Anas platyrhynchos,Mallard,species,1,,1
尖尾鴨,Anas acuta,Northern Pintail,species,,,
小水鴨,Anas crecca,Green-winged Teal,species,1,,
赤嘴潛鴨,Netta rufina,Red-crested Pochard,species,,,
帆背潛鴨,Aythya valisineria,Canvasback,species,,,
紅頭潛鴨,Aythya ferina,Common Pochard,species,,,
環頸潛鴨,Aythya collaris,Ring-necked Duck,species,,,
白眼潛鴨,Aythya nyroca,Ferruginous Duck,species,,,
青頭潛鴨,Aythya baeri,Baer's Pochard,species,,,
鳳頭潛鴨,Aythya fuligula,Tufted Duck,species,,,
斑背潛鴨,Aythya marila,Greater Scaup,species,,,
小斑背潛鴨,Aythya affinis,Lesser Scaup,species,,,
長尾鴨,Clangula hyemalis,Long-tailed Duck,species,,,
鵲鴨,Bucephala clangula,Common Goldeneye,species,,,
白秋沙,Mergellus albellus,Smew,species,,,
川秋沙,Mergus merganser,Common Merganser,species,,,
紅胸秋沙,Mergus serrator,Red-breasted Merganser,species,,,
唐秋沙,Mergus squamatus,Scaly-sided Merganser,species,,,
台灣山鷓鴣,Arborophila crudigularis,Taiwan Partridge,species,1,endemic species,1
火雞,Meleagris gallopavo,Wild Turkey,species,,,
黑長尾雉,Syrmaticus mikado,Mikado Pheasant,species,1,endemic species,1
紅腹錦雞,Chrysolophus pictus,Golden Pheasant,species,,,
白腹錦雞,Chrysolophus amherstiae,Lady Amherst's Pheasant,species,,,
環頸雉,Phasianus colchicus,Ring-necked Pheasant,species,,endemic subspecies,
藍腹鷴,Lophura swinhoii,Swinhoe's Pheasant,species,1,endemic species,1
藍孔雀,Pavo cristatus,Indian Peafowl,species,,,
灰胸竹雞,Bambusicola thoracicus,Chinese Bamboo-Partridge,species,,,
台灣竹雞,Bambusicola sonorivox,Taiwan Bamboo-Partridge,species,1,endemic species,1
小鵪鶉,Synoicus chinensis,Blue-breasted Quail,species,,,
鵪鶉,Coturnix japonica,Japanese Quail,species,,,
美洲?鸛,Phoenicopterus ruber,American Flamingo,species,,,
大紅鸛,Phoenicopterus roseus,Greater Flamingo,species,,,
小鸊鷉,Tachybaptus ruficollis,Little Grebe,species,1,,1
角鸊鷉,Podiceps auritus,Horned Grebe,species,,,
赤頸鸊鷉,Podiceps grisegena,Red-necked Grebe,species,,,
冠鸊鷉,Podiceps cristatus,Great Crested Grebe,species,,,
黑頸鸊鷉,Podiceps nigricollis,Eared Grebe,species,,,
野鴿,Columba livia,Rock Pigeon,species,1,,1
灰林鴿,Columba pulchricollis,Ashy Wood-Pigeon,species,1,,1
黑林鴿,Columba janthina,Japanese Wood-Pigeon,species,,,
白喉林鴿,Columba vitiensis,Metallic Pigeon,species,,,
歐斑鳩,Streptopelia turtur,European Turtle-Dove,species,,,
金背鳩,Streptopelia orientalis,Oriental Turtle-Dove,species,1,endemic subspecies,1
灰斑鳩,Streptopelia decaocto,Eurasian Collared-Dove,species,,,
紅鳩,Streptopelia tranquebarica,Red Collared-Dove,species,1,,1
珠頸斑鳩,Streptopelia chinensis,Spotted Dove,species,1,,1
斑尾鵑鳩,Macropygia unchall,Barred Cuckoo-Dove,species,,,
長尾鳩,Macropygia tenuirostris,Philippine Cuckoo-Dove,species,,,
翠翼鳩,Chalcophaps indica,Asian Emerald Dove,species,1,,1
雪花姬地鳩,Geopelia cuneata,Diamond Dove,species,,,
斑馬鳩,Geopelia striata,Zebra Dove,species,,,
橙胸綠鳩,Treron bicinctus,Orange-breasted Green-Pigeon,species,,,
厚嘴綠鳩,Treron curvirostra,Thick-billed Green-Pigeon,species,,,
綠鳩,Treron sieboldii,White-bellied Green-Pigeon,species,1,,1
紅頭綠鳩,Treron formosae,Whistling Green-Pigeon,species,,endemic subspecies,
小綠鳩,Ptilinopus leclancheri,Black-chinned Fruit-Dove,species,,,
褐翅鴉鵑,Centropus sinensis,Greater Coucal,species,,,
番鵑,Centropus bengalensis,Lesser Coucal,species,1,,1
冠郭公,Clamator coromandus,Chestnut-winged Cuckoo,species,,,
斑翅鳳頭鵑,Clamator jacobinus,Pied Cuckoo,species,,,
噪鵑,Eudynamys scolopaceus,Asian Koel,species,1,,1
八聲杜鵑,Cacomantis merulinus,Plaintive Cuckoo,species,,,
烏鵑,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,species,,,
方尾烏鵑,Surniculus lugubris,Square-tailed Drongo-Cuckoo,species,,,
鷹鵑,Hierococcyx sparverioides,Large Hawk-Cuckoo,species,1,,1
北方鷹鵑,Hierococcyx hyperythrus,Northern Hawk-Cuckoo,species,,,
棕腹鷹鵑,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,species,,,
小杜鵑,Cuculus poliocephalus,Lesser Cuckoo,species,1,,1
四聲杜鵑,Cuculus micropterus,Indian Cuckoo,species,1,,
喜馬拉雅中杜鵑,Cuculus saturatus,Himalayan Cuckoo,species,,,
大杜鵑,Cuculus canorus,Common Cuckoo,species,1,,1
北方中杜鵑,Cuculus optatus,Oriental Cuckoo,species,1,,1
普通夜鷹,Caprimulgus jotaka,Gray Nightjar,species,,,
南亞夜鷹,Caprimulgus affinis,Savanna Nightjar,species,1,endemic subspecies,1
白喉針尾雨燕,Hirundapus caudacutus,White-throated Needletail,species,1,,1
灰喉針尾雨燕,Hirundapus cochinchinensis,Silver-backed Needletail,species,1,endemic subspecies,1
紫針尾雨燕,Hirundapus celebensis,Purple Needletail,species,,,
灰腰金絲燕,Collocalia marginata,Gray-rumped Swiftlet,species,,,
短嘴金絲燕,Aerodramus brevirostris,Himalayan Swiftlet,species,,,
傑曼氏金絲燕,Aerodramus germani,Germain's Swiftlet,species,,,
叉尾雨燕,Apus pacificus,Pacific Swift,species,1,,1
庫克氏雨燕,Apus cooki,Cook's Swift,species,,,
小雨燕,Apus nipalensis,House Swift,species,1,endemic subspecies,1
西方秧雞,Rallus aquaticus,Water Rail,species,,,
東亞秧雞,Rallus indicus,Brown-cheeked Rail,species,,,
灰胸秧雞,Lewinia striata,Slaty-breasted Rail,species,1,endemic subspecies,1
斑胸秧雞,Porzana porzana,Spotted Crake,species,,,
紅冠水雞,Gallinula chloropus,Eurasian Moorhen,species,1,,1
白冠雞,Fulica atra,Eurasian Coot,species,1,,1
黑背紫水雞,Porphyrio indicus,Black-backed Swamphen,species,,,
紐澳紫水雞,Porphyrio melanotus,Australasian Swamphen,species,,,
灰頭紫水雞,Porphyrio poliocephalus,Gray-headed Swamphen,species,,,
白眉秧雞,Poliolimnas cinereus,White-browed Crake,species,,,
董雞,Gallicrex cinerea,Watercock,species,,,
白腹秧雞,Amaurornis phoenicurus,White-breasted Waterhen,species,1,,1
紅腳秧雞,Rallina fasciata,Red-legged Crake,species,,,
灰腳秧雞,Rallina eurizonoides,Slaty-legged Crake,species,1,endemic subspecies,1
緋秧雞,Zapornia fusca,Ruddy-breasted Crake,species,,,
斑?秧雞,Zapornia paykullii,Band-bellied Crake,species,,,
紅腳苦惡鳥,Zapornia akool,Brown Crake,species,,,
小秧雞,Zapornia pusilla,Baillon's Crake,species,,,
簑羽鶴,Anthropoides virgo,Demoiselle Crane,species,,,
白鶴,Leucogeranus leucogeranus,Siberian Crane,species,,,
沙丘鶴,Antigone canadensis,Sandhill Crane,species,,,
白枕鶴,Antigone vipio,White-naped Crane,species,,,
灰鶴,Grus grus,Common Crane,species,,,
白頭鶴,Grus monacha,Hooded Crane,species,,,
丹頂鶴,Grus japonensis,Red-crowned Crane,species,,,
高蹺鴴,Himantopus himantopus,Black-winged Stilt,species,,,
反嘴鴴,Recurvirostra avosetta,Pied Avocet,species,,,
蠣鴴,Haematopus ostralegus,Eurasian Oystercatcher,species,,,
灰斑鴴,Pluvialis squatarola,Black-bellied Plover,species,,,
美洲金斑鴴,Pluvialis dominica,American Golden-Plover,species,,,
太平洋金斑鴴,Pluvialis fulva,Pacific Golden-Plover,species,,,
小辮鴴,Vanellus vanellus,Northern Lapwing,species,,,
跳鴴,Vanellus cinereus,Gray-headed Lapwing,species,,,
蒙古鴴,Charadrius mongolus,Lesser Sand-Plover,species,,,
鐵嘴鴴,Charadrius leschenaultii,Greater Sand-Plover,species,,,
東方環頸鴴,Charadrius alexandrinus,Kentish Plover,species,1,,1
白臉鴴,Charadrius dealbatus,White-faced Plover,species,,,
環頸鴴,Charadrius hiaticula,Common Ringed Plover,species,,,
劍鴴,Charadrius placidus,Long-billed Plover,species,,,
小環頸鴴,Charadrius dubius,Little Ringed Plover,species,1,,1
東方紅胸鴴,Charadrius veredus,Oriental Plover,species,,,
彩鷸,Rostratula benghalensis,Greater Painted-Snipe,species,1,,1
水雉,Hydrophasianus chirurgus,Pheasant-tailed Jacana,species,,,
中杓鷸,Numenius phaeopus,Whimbrel,species,,,
小杓鷸,Numenius minutus,Little Curlew,species,,,
黦鷸,Numenius madagascariensis,Far Eastern Curlew,species,,,
大杓鷸,Numenius arquata,Eurasian Curlew,species,,,
斑尾鷸,Limosa lapponica,Bar-tailed Godwit,species,,,
黑尾鷸,Limosa limosa,Black-tailed Godwit,species,,,
翻石鷸,Arenaria interpres,Ruddy Turnstone,species,,,
大濱鷸,Calidris tenuirostris,Great Knot,species,,,
紅腹濱鷸,Calidris canutus,Red Knot,species,,,
流蘇鷸,Calidris pugnax,Ruff,species,,,
寬嘴鷸,Calidris falcinellus,Broad-billed Sandpiper,species,,,
尖尾濱鷸,Calidris acuminata,Sharp-tailed Sandpiper,species,,,
高蹺濱鷸,Calidris himantopus,Stilt Sandpiper,species,,,
彎嘴濱鷸,Calidris ferruginea,Curlew Sandpiper,species,,,
丹氏濱鷸,Calidris temminckii,Temminck's Stint,species,,,
長趾濱鷸,Calidris subminuta,Long-toed Stint,species,,,
琵嘴鷸,Calidris pygmaea,Spoon-billed Sandpiper,species,,,
紅胸濱鷸,Calidris ruficollis,Red-necked Stint,species,,,
三趾濱鷸,Calidris alba,Sanderling,species,,,
黑腹濱鷸,Calidris alpina,Dunlin,species,,,
小濱鷸,Calidris minuta,Little Stint,species,,,
黃胸鷸,Calidris subruficollis,Buff-breasted Sandpiper,species,,,
美洲尖尾濱鷸,Calidris melanotos,Pectoral Sandpiper,species,,,
西濱鷸,Calidris mauri,Western Sandpiper,species,,,
半蹼鷸,Limnodromus semipalmatus,Asian Dowitcher,species,,,
長嘴半蹼鷸,Limnodromus scolopaceus,Long-billed Dowitcher,species,,,
小鷸,Lymnocryptes minimus,Jack Snipe,species,,,
山鷸,Scolopax rusticola,Eurasian Woodcock,species,1,,1
孤田鷸,Gallinago solitaria,Solitary Snipe,species,,,
大地鷸,Gallinago hardwickii,Latham's Snipe,species,,,
田鷸,Gallinago gallinago,Common Snipe,species,1,,1
針尾鷸,Gallinago stenura,Pin-tailed Snipe,species,,,
中地鷸,Gallinago megala,Swinhoe's Snipe,species,,,
反嘴鷸,Xenus cinereus,Terek Sandpiper,species,,,
紅領瓣足鷸,Phalaropus lobatus,Red-necked Phalarope,species,,,
灰瓣足鷸,Phalaropus fulicarius,Red Phalarope,species,,,
磯鷸,Actitis hypoleucos,Common Sandpiper,species,1,,1
白腰草鷸,Tringa ochropus,Green Sandpiper,species,1,,1
黃足鷸,Tringa brevipes,Gray-tailed Tattler,species,,,
美洲黃足鷸,Tringa incana,Wandering Tattler,species,,,
鶴鷸,Tringa erythropus,Spotted Redshank,species,,,
青足鷸,Tringa nebularia,Common Greenshank,species,,,
諾氏鷸,Tringa guttifer,Nordmann's Greenshank,species,,,
小黃腳鷸,Tringa flavipes,Lesser Yellowlegs,species,,,
小青足鷸,Tringa stagnatilis,Marsh Sandpiper,species,,,
鷹斑鷸,Tringa glareola,Wood Sandpiper,species,,,
赤足鷸,Tringa totanus,Common Redshank,species,,,
林三趾鶉,Turnix sylvaticus,Small Buttonquail,species,,,
黃腳三趾鶉,Turnix tanki,Yellow-legged Buttonquail,species,,,
棕三趾鶉,Turnix suscitator,Barred Buttonquail,species,,endemic subspecies,
燕?,Glareola maldivarum,Oriental Pratincole,species,,,
灰賊鷗,Stercorarius maccormicki,South Polar Skua,species,,,
中賊鷗,Stercorarius pomarinus,Pomarine Jaeger,species,,,
短尾賊鷗,Stercorarius parasiticus,Parasitic Jaeger,species,,,
長尾賊鷗,Stercorarius longicaudus,Long-tailed Jaeger,species,,,
崖海鴉,Uria aalge,Common Murre,species,,,
扁嘴海雀,Synthliboramphus antiquus,Ancient Murrelet,species,,,
冠海雀,Synthliboramphus wumizusume,Japanese Murrelet,species,,,
三趾鷗,Rissa tridactyla,Black-legged Kittiwake,species,,,
叉尾鷗,Xema sabini,Sabine's Gull,species,,,
黑嘴鷗,Saundersilarus saundersi,Saunders's Gull,species,,,
細嘴鷗,Chroicocephalus genei,Slender-billed Gull,species,,,
紐澳紅嘴鷗,Chroicocephalus novaehollandiae,Silver Gull,species,,,
紅嘴鷗,Chroicocephalus ridibundus,Black-headed Gull,species,,,
棕頭鷗,Chroicocephalus brunnicephalus,Brown-headed Gull,species,,,
小鷗,Hydrocoloeus minutus,Little Gull,species,,,
楔尾鷗,Rhodostethia rosea,Ross's Gull,species,,,
笑鷗,Leucophaeus atricilla,Laughing Gull,species,,,
弗氏鷗,Leucophaeus pipixcan,Franklin's Gull,species,,,
遺鷗,Ichthyaetus relictus,Relict Gull,species,,,
漁鷗,Ichthyaetus ichthyaetus,Pallas's Gull,species,,,
黑尾鷗,Larus crassirostris,Black-tailed Gull,species,,,
海鷗,Larus canus,Common Gull,species,,,
銀鷗,Larus argentatus,Herring Gull,species,,,
裏海銀鷗,Larus cachinnans,Caspian Gull,species,,,
小黑背鷗,Larus fuscus,Lesser Black-backed Gull,species,,,
灰背鷗,Larus schistisagus,Slaty-backed Gull,species,,,
北極鷗,Larus hyperboreus,Glaucous Gull,species,,,
玄燕鷗,Anous stolidus,Brown Noddy,species,,,
黑玄燕鷗,Anous minutus,Black Noddy,species,,,
烏領燕鷗,Onychoprion fuscatus,Sooty Tern,species,,,
白眉燕鷗,Onychoprion anaethetus,Bridled Tern,species,,,
白腰燕鷗,Onychoprion aleuticus,Aleutian Tern,species,,,
小燕鷗,Sternula albifrons,Little Tern,species,,,
鷗嘴燕鷗,Gelochelidon nilotica,Gull-billed Tern,species,,,
裏海燕鷗,Hydroprogne caspia,Caspian Tern,species,,,
黑浮鷗,Chlidonias niger,Black Tern,species,,,
白翅黑燕鷗,Chlidonias leucopterus,White-winged Tern,species,,,
黑腹燕鷗,Chlidonias hybrida,Whiskered Tern,species,,,
紅燕鷗,Sterna dougallii,Roseate Tern,species,,,
蒼燕鷗,Sterna sumatrana,Black-naped Tern,species,,,
燕鷗,Sterna hirundo,Common Tern,species,,,
