Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
大卷尾,Dicrurus macrocercus,Black Drongo,species,1,endemic subspecies,1
灰卷尾,Dicrurus leucophaeus,Ashy Drongo,species,1,,
鴉嘴卷尾,Dicrurus annectens,Crow-billed Drongo,species,,,
小卷尾,Dicrurus aeneus,Bronzed Drongo,species,1,endemic subspecies,1
髮冠卷尾,Dicrurus hottentottus,Hair-crested Drongo,species,,,
黑枕藍鶲,Hypothymis azurea,Black-naped Monarch,species,1,endemic subspecies,1
紫綬帶,Terpsiphone atrocaudata,Japanese Paradise-Flycatcher,species,1,,
阿穆爾綬帶,Terpsiphone incei,Amur Paradise-Flycatcher,species,,,
虎紋伯勞,Lanius tigrinus,Tiger Shrike,species,,,
紅頭伯勞,Lanius bucephalus,Bull-headed Shrike,species,,,
紅背伯勞,Lanius collurio,Red-backed Shrike,species,,,
荒漠伯勞,Lanius isabellinus,Isabelline Shrike,species,,,
紅尾伯勞,Lanius cristatus,Brown Shrike,species,1,,1
栗背伯勞,Lanius collurioides,Burmese Shrike,species,,,
棕背伯勞,Lanius schach,Long-tailed Shrike,species,1,,1
灰背伯勞,Lanius tephronotus,Gray-backed Shrike,species,,,
西方灰伯勞,Lanius excubitor,Great Gray Shrike,species,,,
楔尾伯勞,Lanius sphenocercus,Chinese Gray Shrike,species,,,
松鴉,Garrulus glandarius,Eurasian Jay,species,1,endemic subspecies,1
灰喜鵲,Cyanopica cyanus,Azure-winged Magpie,species,,,
台灣藍鵲,Urocissa caerulea,Taiwan Blue-Magpie,species,1,endemic species,1
紅嘴藍鵲,Urocissa erythroryncha,Red-billed Blue-Magpie,species,,,
樹鵲,Dendrocitta formosae,Gray Treepie,species,1,endemic subspecies,1
喜鵲,Pica serica,Oriental Magpie,species,1,,1
西方喜鵲,Pica pica,Eurasian Magpie,species,,,
星鴉,Nucifraga caryocatactes,Eurasian Nutcracker,species,1,endemic subspecies,1
東方寒鴉,Corvus dauuricus,Daurian Jackdaw,species,,,
家烏鴉,Corvus splendens,House Crow,species,,,
禿鼻鴉,Corvus frugilegus,Rook,species,,,
小嘴烏鴉,Corvus corone,Carrion Crow,species,,,
巨嘴鴉,Corvus macrorhynchos,Large-billed Crow,species,1,,1
玉頸鴉,Corvus pectoralis,Collared Crow,species,,,
方尾鶲,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,species,,,
煤山雀,Periparus ater,Coal Tit,species,1,endemic subspecies,1
黃腹山雀,Periparus venustulus,Yellow-bellied Tit,species,,,
赤腹山雀,Sittiparus castaneoventris,Chestnut-bellied Tit,species,1,endemic species,1
雜色山雀,Sittiparus varius,Varied Tit,species,,,
青背山雀,Parus monticolus,Green-backed Tit,species,1,endemic subspecies,1
白頰山雀,Parus minor,Japanese Tit,species,,,
黃山雀,Machlolophus holsti,Taiwan Yellow Tit,species,1,endemic species,1
攀雀,Remiz consobrinus,Chinese Penduline-Tit,species,,,
大短趾百靈,Calandrella brachydactyla,Greater Short-toed Lark,species,,,
賽氏短趾百靈,Calandrella dukhunensis,Mongolian Short-toed Lark,species,,,
蒙古百靈,Melanocorypha mongolica,Mongolian Lark,species,,,
亞洲短趾百靈,Alaudala cheleensis,Asian Short-toed Lark,species,,,
歐亞雲雀,Alauda arvensis,Eurasian Skylark,species,,,
小雲雀,Alauda gulgula,Oriental Skylark,species,1,,1
斑紋鷦鶯,Prinia striata,Striped Prinia,species,1,endemic subspecies,1
灰頭鷦鶯,Prinia flaviventris,Yellow-bellied Prinia,species,1,,1
褐頭鷦鶯,Prinia inornata,Plain Prinia,species,1,endemic subspecies,1
棕扇尾鶯,Cisticola juncidis,Zitting Cisticola,species,1,,1
黃頭扇尾鶯,Cisticola exilis,Golden-headed Cisticola,species,1,endemic subspecies,1
厚嘴葦鶯,Arundinax aedon,Thick-billed Warbler,species,,,
靴籬鶯,Iduna caligata,Booted Warbler,species,,,
雙眉葦鶯,Acrocephalus bistrigiceps,Black-browed Reed Warbler,species,,,
細紋葦鶯,Acrocephalus sorghophilus,Streaked Reed Warbler,species,,,
稻田葦鶯,Acrocephalus agricola,Paddyfield Warbler,species,,,
鈍翅葦鶯,Acrocephalus concinens,Blunt-winged Warbler,species,,,
遠東葦鶯,Acrocephalus tangorum,Manchurian Reed Warbler,species,,,
布氏葦鶯,Acrocephalus dumetorum,Blyth's Reed Warbler,species,,,
東方大葦鶯,Acrocephalus orientalis,Oriental Reed Warbler,species,1,,1
蒼眉蝗鶯,Helopsaltes fasciolatus,Gray's Grasshopper Warbler,species,,,
庫頁島蝗鶯,Helopsaltes amnicola,Sakhalin Grasshopper Warbler,species,,,
小蝗鶯,Helopsaltes certhiola,Pallas's Grasshopper Warbler,species,,,
北蝗鶯,Helopsaltes ochotensis,Middendorff's Grasshopper Warbler,species,,,
史氏蝗鶯,Helopsaltes pleskei,Pleske's Grasshopper Warbler,species,,,
矛斑蝗鶯,Locustella lanceolata,Lanceolated Warbler,species,,,
台灣叢樹鶯,Locustella alishanensis,Taiwan Bush Warbler,species,1,endemic species,1
赤褐蝗鶯,Locustella mandelli,Russet Bush Warbler,species,,,
台灣鷦眉,Pnoepyga formosana,Taiwan Cupwing,species,1,endemic species,1
棕沙燕,Riparia chinensis,Gray-throated Martin,species,1,,1
灰沙燕,Riparia riparia,Bank Swallow,species,1,,1
淺灰沙燕,Riparia diluta,Pale Sand Martin,species,,,
家燕,Hirundo rustica,Barn Swallow,species,1,,1
洋燕,Hirundo tahitica,Pacific Swallow,species,1,,1
金腰燕,Cecropis daurica,Red-rumped Swallow,species,,,
赤腰燕,Cecropis striolata,Striated Swallow,species,1,,1
白腹毛腳燕,Delichon urbicum,Common House-Martin,species,,,
東方毛腳燕,Delichon dasypus,Asian House-Martin,species,1,,1
白環鸚嘴鵯,Spizixos semitorques,Collared Finchbill,species,1,endemic subspecies,1
烏頭翁,Pycnonotus taivanus,Styan's Bulbul,species,,endemic species,
紅耳鵯,Pycnonotus jocosus,Red-whiskered Bulbul,species,,,
白頭翁,Pycnonotus sinensis,Light-vented Bulbul,species,1,endemic subspecies,1
白喉紅臀鵯,Pycnonotus aurigaster,Sooty-headed Bulbul,species,,,
紅嘴黑鵯,Hypsipetes leucocephalus,Black Bulbul,species,1,endemic subspecies,1
棕耳鵯,Hypsipetes amaurotis,Brown-eared Bulbul,species,,endemic subspecies,
栗背短腳鵯,Hemixos castanonotus,Chestnut Bulbul,species,,,
林柳鶯,Phylloscopus sibilatrix,Wood Warbler,species,,,
黃眉柳鶯,Phylloscopus inornatus,Yellow-browed Warbler,species,1,,1
淡眉柳鶯,Phylloscopus humei,Hume's Warbler,species,,,
雲南柳鶯,Phylloscopus yunnanensis,Chinese Leaf Warbler,species,,,
黃腰柳鶯,Phylloscopus proregulus,Pallas's Leaf Warbler,species,1,,
巨嘴柳鶯,Phylloscopus schwarzi,Radde's Warbler,species,,,
棕眉柳鶯,Phylloscopus armandii,Yellow-streaked Warbler,species,,,
黃腹柳鶯,Phylloscopus affinis,Tickell's Leaf Warbler,species,,,
褐色柳鶯,Phylloscopus fuscatus,Dusky Warbler,species,1,,1
棕腹柳鶯,Phylloscopus subaffinis,Buff-throated Warbler,species,,,
歐亞柳鶯,Phylloscopus trochilus,Willow Warbler,species,,,
東方嘰咋柳鶯,Phylloscopus sindianus,Mountain Chiffchaff,species,,,
嘰喳柳鶯,Phylloscopus collybita,Common Chiffchaff,species,,,
冠羽柳鶯,Phylloscopus coronatus,Eastern Crowned Warbler,species,,,
飯島柳鶯,Phylloscopus ijimae,Ijima's Leaf Warbler,species,,,
白眶鶲鶯,Phylloscopus intermedius,White-spectacled Warbler,species,,,
比氏鶲鶯,Phylloscopus valentini,Bianchi's Warbler,species,,,
淡尾鶲鶯,Phylloscopus soror,Alström's Warbler,species,,,
暗綠柳鶯,Phylloscopus trochiloides,Greenish Warbler,species,,,
雙斑綠柳鶯,Phylloscopus plumbeitarsus,Two-barred Warbler,species,,,
淡腳柳鶯,Phylloscopus tenellipes,Pale-legged Leaf Warbler,species,,,
庫頁島柳鶯,Phylloscopus borealoides,Sakhalin Leaf Warbler,species,,,
日本柳鶯,Phylloscopus xanthodryas,Japanese Leaf Warbler,species,,,
極北柳鶯,Phylloscopus borealis,Arctic Warbler,species,1,,1
勘察加柳鶯,Phylloscopus examinandus,Kamchatka Leaf Warbler,species,,,
栗頭鶲鶯,Phylloscopus castaniceps,Chestnut-crowned Warbler,species,,,
黑眉柳鶯,Phylloscopus ricketti,Sulphur-breasted Warbler,species,,,
克氏冠紋柳鶯,Phylloscopus claudiae,Claudia's Leaf Warbler,species,,,
哈氏冠紋柳鶯,Phylloscopus goodsoni,Hartert's Leaf Warbler,species,,,
短尾鶯,Urosphena squameiceps,Asian Stubtail,species,1,,1
棕面鶯,Abroscopus albogularis,Rufous-faced Warbler,species,1,,1
日本樹鶯,Horornis diphone,Japanese Bush Warbler,species,1,,1
遠東樹鶯,Horornis canturians,Manchurian Bush Warbler,species,1,,1
小鶯,Horornis fortipes,Brownish-flanked Bush Warbler,species,1,endemic subspecies,1
深山鶯,Horornis acanthizoides,Yellowish-bellied Bush Warbler,species,1,endemic subspecies,1
紅頭山雀,Aegithalos concinnus,Black-throated Tit,species,1,,1
白喉林鶯,Curruca curruca,Lesser Whitethroat,species,,,
漠地林鶯,Curruca nana,Asian Desert Warbler,species,,,
褐頭花翼,Fulvetta formosana,Taiwan Fulvetta,species,1,endemic species,1
黃羽鸚嘴,Suthora verreauxi,Golden Parrotbill,species,1,endemic subspecies,1
粉紅鸚嘴,Sinosuthora webbiana,Vinous-throated Parrotbill,species,1,endemic subspecies,1
栗耳鳳眉,Staphida torqueola,Indochinese Yuhina,species,,,
冠羽畫眉,Yuhina brunneiceps,Taiwan Yuhina,species,1,endemic species,1
紅?繡眼,Zosterops erythropleurus,Chestnut-flanked White-eye,species,,,
斯氏繡眼,Zosterops simplex,Swinhoe's White-eye,species,1,,1
日菲繡眼,Zosterops japonicus,Warbling White-eye,species,,,
印度繡眼,Zosterops palpebrosus,Indian White-eye,species,,,
低地繡眼,Zosterops meyeni,Lowland White-eye,species,,,
山紅頭,Cyanoderma ruficeps,Rufous-capped Babbler,species,1,endemic subspecies,1
小彎嘴,Pomatorhinus musicus,Taiwan Scimitar-Babbler,species,1,endemic species,1
大彎嘴,Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler,species,1,endemic species,1
頭烏線,Schoeniparus brunneus,Dusky Fulvetta,species,1,endemic subspecies,1
繡眼畫眉,Alcippe morrisonia,Morrison's Fulvetta,species,1,endemic species,1
台灣噪眉,Trochalopteron morrisonianum,White-whiskered Laughingthrush,species,1,endemic species,1
白耳畫眉,Heterophasia auricularis,White-eared Sibia,species,1,endemic species,1
紋翼畫眉,Actinodura morrisoniana,Taiwan Barwing,species,1,endemic species,1
紅嘴相思鳥,Leiothrix lutea,Red-billed Leiothrix,species,,,
